message_id,direction,mode,agent_id,peer_agent_id,step,semantic_message,channel_input_text,channel_output_text,raw_token_count,raw_total_bits,channel_token_count,channel_total_bits,encoded_token_count,encoded_total_bits,codebook_size,snr_db,mapped_ter,noise_enabled,token_error_count
6,send,plain_text,0,1,1043,<Bedroom> (2000) update: I searched the room and it is empty.,<Bedroom> (2000) update: I searched the room and it is empty.,<Bedroom> (2000) update: I searched the room and it is empty.,19,323,19,323,19,323,,10.0,0.0,False,0
6,receive,plain_text,1,0,1044,<Bedroom> (2000) update: I searched the room and it is empty.,<Bedroom> (2000) update: I searched the room and it is empty.,<Bedroom> (2000) update: I searched the room and it is empty.,19,323,19,323,19,323,,10.0,0.0,False,0
7,send,plain_text,0,1,1427,<Livingroom> (1000) update: I found <banana> (7380658) and <banana> (12898298).,<Livingroom> (1000) update: I found <banana> (7380658) and <banana> (12898298).,<Livingroom> (1000) update: I found <banana> (7380658) and <banana> (12898298).,31,527,31,527,31,527,,10.0,0.0,False,0
7,receive,plain_text,1,0,1428,<Livingroom> (1000) update: I found <banana> (7380658) and <banana> (12898298).,<Livingroom> (1000) update: I found <banana> (7380658) and <banana> (12898298).,<Livingroom> (1000) update: I found <banana> (7380658) and <banana> (12898298).,31,527,31,527,31,527,,10.0,0.0,False,0
8,send,plain_text,0,1,1540,<Livingroom> (1000) update: I took <banana> (7380658) and <banana> (12898298). The room is now empty.,<Livingroom> (1000) update: I took <banana> (7380658) and <banana> (12898298). The room is now empty.,<Livingroom> (1000) update: I took <banana> (7380658) and <banana> (12898298). The room is now empty.,37,629,37,629,37,629,,10.0,0.0,False,0
8,receive,plain_text,1,0,1541,<Livingroom> (1000) update: I took <banana> (7380658) and <banana> (12898298). The room is now empty.,<Livingroom> (1000) update: I took <banana> (7380658) and <banana> (12898298). The room is now empty.,<Livingroom> (1000) update: I took <banana> (7380658) and <banana> (12898298). The room is now empty.,37,629,37,629,37,629,,10.0,0.0,False,0
9,send,plain_text,1,0,1653,Only one object remains: <loaf_bread> (13967555) in <Kitchen> (5000). I am going to retrieve it.,Only one object remains: <loaf_bread> (13967555) in <Kitchen> (5000). I am going to retrieve it.,Only one object remains: <loaf_bread> (13967555) in <Kitchen> (5000). I am going to retrieve it.,32,544,32,544,32,544,,10.0,0.0,False,0
9,receive,plain_text,0,1,1654,Only one object remains: <loaf_bread> (13967555) in <Kitchen> (5000). I am going to retrieve it.,Only one object remains: <loaf_bread> (13967555) in <Kitchen> (5000). I am going to retrieve it.,Only one object remains: <loaf_bread> (13967555) in <Kitchen> (5000). I am going to retrieve it.,32,544,32,544,32,544,,10.0,0.0,False,0
10,send,plain_text,0,1,1786,I'm going to search the <Office> (3000).,I'm going to search the <Office> (3000).,I'm going to search the <Office> (3000).,13,221,13,221,13,221,,10.0,0.0,False,0
10,receive,plain_text,1,0,1787,I'm going to search the <Office> (3000).,I'm going to search the <Office> (3000).,I'm going to search the <Office> (3000).,13,221,13,221,13,221,,10.0,0.0,False,0
11,send,plain_text,1,0,2090,Kitchen (5000) update: I took loaf_bread (13967555). The room is now empty.,Kitchen (5000) update: I took loaf_bread (13967555). The room is now empty.,Kitchen (5000) update: I took loaf_bread (13967555). The room is now empty.,24,408,24,408,24,408,,10.0,0.0,False,0
11,receive,plain_text,0,1,2091,Kitchen (5000) update: I took loaf_bread (13967555). The room is now empty.,Kitchen (5000) update: I took loaf_bread (13967555). The room is now empty.,Kitchen (5000) update: I took loaf_bread (13967555). The room is now empty.,24,408,24,408,24,408,,10.0,0.0,False,0
12,send,plain_text,0,1,2155,Office (3000) update: I found nothing. The room is empty.,Office (3000) update: I found nothing. The room is empty.,Office (3000) update: I found nothing. The room is empty.,16,272,16,272,16,272,,10.0,0.0,False,0
12,receive,plain_text,1,0,2156,Office (3000) update: I found nothing. The room is empty.,Office (3000) update: I found nothing. The room is empty.,Office (3000) update: I found nothing. The room is empty.,16,272,16,272,16,272,,10.0,0.0,False,0
13,send,plain_text,0,1,2220,Only 2 target objects remain: 1 loaf_bread and 1 bread. I am heading to <Livingroom> (6000).,Only 2 target objects remain: 1 loaf_bread and 1 bread. I am heading to <Livingroom> (6000).,Only 2 target objects remain: 1 loaf_bread and 1 bread. I am heading to <Livingroom> (6000).,29,493,29,493,29,493,,10.0,0.0,False,0
13,receive,plain_text,1,0,2221,Only 2 target objects remain: 1 loaf_bread and 1 bread. I am heading to <Livingroom> (6000).,Only 2 target objects remain: 1 loaf_bread and 1 bread. I am heading to <Livingroom> (6000).,Only 2 target objects remain: 1 loaf_bread and 1 bread. I am heading to <Livingroom> (6000).,29,493,29,493,29,493,,10.0,0.0,False,0
14,send,plain_text,0,1,2509,<Livingroom> (6000) update: I found nothing. The room is empty. Still 2 target objects remaining: 1 loaf_bread and 1 bread.,<Livingroom> (6000) update: I found nothing. The room is empty. Still 2 target objects remaining: 1 loaf_bread and 1 bread.,<Livingroom> (6000) update: I found nothing. The room is empty. Still 2 target objects remaining: 1 loaf_bread and 1 bread.,36,612,36,612,36,612,,10.0,0.0,False,0
14,receive,plain_text,1,0,2510,<Livingroom> (6000) update: I found nothing. The room is empty. Still 2 target objects remaining: 1 loaf_bread and 1 bread.,<Livingroom> (6000) update: I found nothing. The room is empty. Still 2 target objects remaining: 1 loaf_bread and 1 bread.,<Livingroom> (6000) update: I found nothing. The room is empty. Still 2 target objects remaining: 1 loaf_bread and 1 bread.,36,612,36,612,36,612,,10.0,0.0,False,0
